"Date (UTC)","Timestamp (UTC)","<250","250-274","275-299","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550+"
"01-30-2025 03:00","1738206005","0.27","0.32","0.175","0.128","0.0595","0.0275","0.0075","0.002","0.0015","0.003","0.0015","0.0015","0.0015","0.0015"
"01-30-2025 04:00","1738209605","0.27","0.315","0.17","0.1305","0.047","0.025","0.009","0.002","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-30-2025 05:00","1738213204","0.305","0.31","0.165","0.122","0.0465","0.0195","0.007","0.002","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-30-2025 06:00","1738216804","0.375","0.315","0.16","0.082","0.034","0.018","0.0065","0.002","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"01-30-2025 07:00","1738220404","0.33","0.33","0.18","0.0805","0.0415","0.02","0.0065","0.002","0.0015","0.0015","0.0015","0.0015","0.001","0.0015"
"01-30-2025 08:00","1738224005","0.385","0.34","0.18","0.069","0.022","0.015","0.0045","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 09:00","1738227605","0.385","0.35","0.17","0.077","0.0205","0.0105","0.004","0.0015","0.0015","0.001","0.001","0.0005","0.0005","0.0005"
"01-30-2025 10:00","1738231204","0.385","0.35","0.18","0.077","0.019","0.0065","0.003","0.0005","0.001","0.0015","0.0005","0.0005","0.001","0.001"
"01-30-2025 11:00","1738234804","0.365","0.355","0.185","0.072","0.02","0.008","0.0025","0.0005","0.0005","0.001","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 12:00","1738238404","0.34","0.37","0.17","0.066","0.024","0.007","0.003","0.0005","0.0005","0.001","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 13:00","1738242004","0.37","0.365","0.165","0.0655","0.0285","0.007","0.0025","0.0005","0.0005","0.001","0.0005","0.0005","0.0005","0.0005"
"01-30-2025 14:00","1738245604","0.255","0.36","0.26","0.0855","0.028","0.0085","0.003","0.0005","0.001","0.0005","0.0005","0.0005","0.0005","0.0005"
